CustomerID,CustomerName,Region,SignupDate,total_transactions,total_quantity,total_revenue,avg_transaction_value,product_variance
C0001,Lawrence Carroll,South America,2022-07-10,5,12,3354.5200000000004,670.9040000000001,5
C0002,Elizabeth Lutz,Asia,2022-02-13,4,10,1862.74,465.685,4
C0003,Michael Rivera,South America,2024-03-07,4,14,2725.38,681.345,4
C0004,Kathleen Rodriguez,South America,2022-10-09,8,23,5354.88,669.36,8
C0005,Laura Weber,Asia,2022-08-15,3,7,2034.24,678.08,3
C0006,Brittany Palmer,South America,2024-01-07,4,12,4227.57,1056.8925,4
C0007,Paul Graves,Asia,2022-06-18,3,8,2579.8199999999997,859.9399999999999,3
C0008,David Li,North America,2024-01-13,10,20,4271.61,427.16099999999994,10
C0009,Joy Clark,Europe,2023-08-14,3,3,896.5,298.8333333333333,3
C0010,Aaron Cox,Europe,2022-12-15,4,12,1717.5500000000002,429.38750000000005,4
C0011,Bryan Mathews,South America,2022-12-12,5,13,3730.0,746.0,5
C0012,Kevin May,South America,2024-08-07,7,19,5231.259999999999,747.3228571428571,6
C0013,Lauren Buchanan,South America,2024-05-19,7,18,6000.56,857.2228571428572,7
C0014,Deborah Wilcox,Europe,2024-06-22,1,2,318.66,318.66,1
C0015,Tina Duran,North America,2023-11-20,2,4,1157.48,578.74,2
C0016,Emily Woods,North America,2024-01-03,5,10,3874.42,774.884,5
C0017,Jennifer King,Europe,2023-12-05,8,21,4753.82,594.2275,8
C0018,Tyler Haynes,North America,2024-09-21,5,18,4781.85,956.3700000000001,5
C0019,Brandon Rodriguez,Europe,2023-01-12,6,11,2185.8199999999997,364.3033333333333,6
C0020,Mr. Manuel Conway,North America,2024-06-11,1,3,922.41,922.41,1
C0021,Robert Blanchard,Asia,2023-04-17,8,17,5419.92,677.49,8
C0022,Teresa Esparza,Asia,2023-10-27,6,15,4655.07,775.8449999999999,6
C0023,Nicholas Cain,Europe,2022-03-04,6,14,5158.65,859.775,6
C0024,Michele Cooley,North America,2024-02-05,7,14,3627.02,518.1457142857142,7
C0025,Gregory Odom,South America,2022-07-04,4,8,1589.81,397.4525,4
C0026,Sara Miller,North America,2024-05-03,4,12,3549.05,887.2625,4
C0027,Justin Heath,Asia,2022-11-09,4,12,2562.94,640.735,4
C0028,Jennifer Pena,Asia,2024-06-29,8,24,6819.57,852.44625,6
C0029,Erin Manning,North America,2022-04-16,4,10,1785.8700000000001,446.46750000000003,4
C0030,Mark Brock,North America,2024-01-30,5,13,2549.6800000000003,509.93600000000004,5
C0031,Tina Miller,South America,2024-04-11,4,10,2005.38,501.345,4
C0032,Dustin Campbell,South America,2024-04-17,3,5,673.0,224.33333333333334,3
C0033,Tyler Holt,North America,2024-08-04,1,2,132.64,132.64,1
C0034,Dalton Perez,North America,2023-09-27,6,17,3073.2000000000003,512.2,6
C0035,Brianna Richardson,North America,2024-10-01,4,10,2587.61,646.9025,4
C0036,Brian Aguilar DDS,North America,2024-07-06,3,8,1877.96,625.9866666666667,3
C0037,Linda Smith,Europe,2023-02-04,5,14,4252.77,850.5540000000001,5
C0038,Jeffrey Perkins,North America,2022-04-16,5,13,2696.85,539.37,5
C0039,Angela Harris,South America,2024-10-13,6,18,4239.6,706.6,6
C0040,Michael Harrell,Asia,2022-03-07,3,10,3969.3999999999996,1323.1333333333332,2
C0041,Lindsey Deleon,Europe,2023-12-27,7,23,6149.78,878.54,7
C0042,Heather Riley,North America,2023-03-15,3,6,2402.49,800.8299999999999,3
C0043,Sandy Short MD,Asia,2023-02-05,3,6,1131.3200000000002,377.10666666666674,3
C0044,Kenneth Alexander,Europe,2024-07-10,3,7,3230.1099999999997,1076.7033333333331,3
C0045,Michael Williams,Asia,2022-02-25,7,23,6021.8,860.2571428571429,7
C0046,Beth Cardenas,North America,2024-10-23,7,19,5627.83,803.9757142857143,7
C0047,Samantha Frank,North America,2024-03-22,7,13,2870.54,410.07714285714286,7
C0048,Matthew Park,South America,2024-11-07,5,12,3850.9399999999996,770.1879999999999,5
C0049,Jason Yates,North America,2024-09-18,8,17,2315.48,289.435,8
C0050,Ryan Davis,North America,2024-03-02,3,8,3068.83,1022.9433333333333,3
C0051,Nicholas Ellis,Europe,2023-12-21,7,16,5699.57,814.2242857142857,7
C0052,Stanley Aguirre,South America,2024-02-20,4,10,2488.01,622.0025,3
C0053,Albert Burke,Europe,2022-06-18,6,18,5316.46,886.0766666666667,6
C0054,Bruce Rhodes,Asia,2024-09-29,8,24,8040.389999999999,1005.0487499999999,8
C0055,Lauren Williams,North America,2024-11-11,5,12,2857.6800000000003,571.5360000000001,5
C0056,Erika Fernandez,Asia,2024-04-12,5,12,3182.94,636.588,5
C0057,Elizabeth Nguyen,Europe,2024-07-27,6,16,4536.4,756.0666666666666,6
C0058,Zachary Turner,North America,2024-01-28,1,1,396.34,396.34,1
C0059,Mrs. Kimberly Wright,North America,2024-04-07,8,21,7073.28,884.16,8
C0060,James Murphy,Europe,2022-04-22,1,2,82.36,82.36,1
C0061,Brandon Escobar,Europe,2023-03-06,3,6,2138.26,712.7533333333334,3
C0062,Jeffery Hartman,Europe,2022-12-14,3,8,1639.54,546.5133333333333,2
C0063,Wayne Ferguson,Europe,2024-02-05,2,5,1378.1699999999998,689.0849999999999,2
C0064,Martha Montgomery,Europe,2023-10-22,5,13,4039.77,807.954,5
C0065,Gerald Hines,North America,2024-07-10,10,27,7663.7,766.37,10
C0066,Catherine White,Europe,2024-11-15,3,9,3799.2799999999997,1266.4266666666665,3
C0067,Carl Gonzalez,North America,2023-07-06,6,14,4090.84,681.8066666666667,6
C0068,Mark Cox,North America,2023-04-04,8,22,5950.42,743.8025,8
C0069,Stacy Foster,Europe,2023-12-03,5,10,2878.69,575.738,5
C0070,Timothy Perez,Europe,2022-03-15,4,12,3125.49,781.3725,4
C0071,Taylor Murphy,South America,2022-07-01,3,7,1400.83,466.9433333333333,3
C0072,Sarah Scott,North America,2024-07-24,5,13,2999.59,599.918,5
C0073,Heidi Johnson,Europe,2022-08-20,3,10,2060.54,686.8466666666667,3
C0074,Jonathan Russo,Europe,2022-05-27,3,8,3055.2200000000003,1018.4066666666668,3
C0075,Misty Higgins,Europe,2023-05-01,9,28,5848.97,649.8855555555556,9
C0076,Emily Roberts,South America,2024-02-11,5,11,2333.06,466.61199999999997,5
C0077,Scott Sims,South America,2023-10-18,3,7,837.3,279.09999999999997,3
C0078,Julia Palmer,Asia,2024-11-13,1,2,995.52,995.52,1
C0079,Brian Murillo,North America,2022-02-02,4,12,4251.5599999999995,1062.8899999999999,4
